Country Code,year,projects_total,projects_with_amount,usd_const_2021_sum,share_amount_estimated,amount_coverage,log1p_usd_const_2021,cumulative_inv,treat_year,treat_500m,post_500m,rel_time
MRT,2014,6,2,49977983.165169895,0.0,0.3333333333333333,17.727093149727956,1114410805.5540137,2009.0,1,1,5.0
MRT,2015,10,4,54058991.30045608,0.0,0.4,17.80558645824772,1168469796.8544698,2009.0,1,1,6.0
MRT,2016,8,4,74677745.05511658,0.0,0.5,18.128692694810027,1243147541.9095864,2009.0,1,1,7.0
MRT,2017,9,3,55363501.77874336,0.0,0.3333333333333333,17.82943114000947,1298511043.6883297,2009.0,1,1,8.0
MRT,2018,15,3,115670992.35170752,0.0,0.2,18.56626045504233,1414182036.0400372,2009.0,1,1,9.0
MRT,2019,12,4,134231726.3884085,0.0,0.3333333333333333,18.71507817325093,1548413762.4284458,2009.0,1,1,10.0
MRT,2020,14,2,298660.53056522936,0.1428571428571428,0.1428571428571428,12.607066206372886,1548712422.959011,2009.0,1,1,11.0
MRT,2021,12,5,42677085.1370851,0.3333333333333333,0.4166666666666667,17.5691727097402,1591389508.096096,2009.0,1,1,12.0
MUS,2000,2,2,8046811.36179361,0.0,1.0,15.900786591072588,8046811.36179361,2009.0,1,0,-9.0
MUS,2001,2,2,17929178.78736051,0.0,1.0,16.701940099267848,25975990.149154123,2009.0,1,0,-8.0
MUS,2002,2,2,36237030.34136388,0.0,1.0,17.40559211915467,62213020.490518,2009.0,1,0,-7.0
MUS,2003,1,1,3044803.00509839,0.0,1.0,14.928947090912802,65257823.49561639,2009.0,1,0,-6.0
MUS,2004,5,3,5580894.8848799495,0.0,0.6,15.534859874316131,70838718.38049634,2009.0,1,0,-5.0
MUS,2005,5,4,14688555.53172686,0.0,0.8,16.502579281356542,85527273.9122232,2009.0,1,0,-4.0
MUS,2006,5,5,45723215.75479472,0.0,1.0,17.638116752132316,131250489.66701792,2009.0,1,0,-3.0
MUS,2007,2,1,70965550.3104825,0.0,0.5,18.077705124451366,202216039.97750044,2009.0,1,0,-2.0
MUS,2008,5,3,17505041.24764391,0.0,0.6,16.67799952582951,219721081.22514433,2009.0,1,0,-1.0
MUS,2009,9,5,503903911.8481902,0.0,0.5555555555555556,20.037896158749056,723624993.0733345,2009.0,1,1,0.0
MUS,2010,3,1,3525.25746470582,0.0,0.3333333333333333,8.167992379210334,723628518.3307992,2009.0,1,1,1.0
MUS,2011,1,1,7134362.84956648,0.0,1.0,15.78043364578242,730762881.1803657,2009.0,1,1,2.0
MUS,2012,9,9,136860623.76751134,0.0,1.0,18.73447362848998,867623504.947877,2009.0,1,1,3.0
MUS,2013,2,2,9365620.565351298,0.0,1.0,16.05255626275784,876989125.5132283,2009.0,1,1,4.0
MUS,2014,5,3,40645483.49400616,0.0,0.6,17.520398305229694,917634609.0072345,2009.0,1,1,5.0
MUS,2015,2,1,8927697.07036203,0.0,0.5,16.004669144747556,926562306.0775965,2009.0,1,1,6.0
MUS,2016,16,9,239708358.32246223,0.0625,0.5625,19.294933572899414,1166270664.4000587,2009.0,1,1,7.0
MUS,2017,10,2,4200301.765648085,0.0,0.2,15.250667167714518,1170470966.1657069,2009.0,1,1,8.0
MUS,2018,22,15,134299066.4492574,0.0454545454545454,0.6818181818181818,18.71557971768125,1304770032.6149642,2009.0,1,1,9.0
MUS,2019,14,9,16578714.797819166,0.0,0.6428571428571429,16.623630249775328,1321348747.4127834,2009.0,1,1,10.0
MUS,2020,6,0,,0.0,0.0,0.0,,2009.0,1,1,11.0
MUS,2021,4,2,54431579.0,0.5,0.5,17.812455058098575,1375780326.4127834,2009.0,1,1,12.0
MWI,2007,1,1,89963219.1442049,0.0,1.0,18.314911479703824,89963219.1442049,2013.0,1,0,-6.0
MWI,2008,8,2,108256544.47043684,0.0,0.25,18.500014389258464,198219763.61464173,2013.0,1,0,-5.0
MWI,2009,13,5,142719737.25739533,0.0,0.3846153846153846,18.77639339283546,340939500.87203705,2013.0,1,0,-4.0
MWI,2010,12,2,1471740.657224651,0.0,0.1666666666666666,14.201957058265403,342411241.5292617,2013.0,1,0,-3.0
MWI,2011,12,5,102784820.79702984,0.0,0.4166666666666667,18.4481482521955,445196062.32629156,2013.0,1,0,-2.0
MWI,2012,5,2,11154173.80029552,0.0,0.4,16.227324407343314,456350236.1265871,2013.0,1,0,-1.0
MWI,2013,6,3,81530519.39134234,0.0,0.5,18.216487991439063,537880755.5179294,2013.0,1,1,0.0
MWI,2014,9,4,20116303.876531,0.0,0.4444444444444444,16.817041232081344,557997059.3944604,2013.0,1,1,1.0
MWI,2015,20,13,76405156.74022536,0.0,0.65,18.15156076154689,634402216.1346858,2013.0,1,1,2.0
MWI,2016,29,14,75062163.64566109,0.0,0.4827586206896552,18.133827190126368,709464379.7803469,2013.0,1,1,3.0
