Country Code,year,projects,usd_const_2021,share_amount_estimated,log1p_usd_const_2021
RWA,2015,3,0.0,0.0,0.0
RWA,2016,6,136309633.3862238,0.0,18.73043957932073
RWA,2017,8,53551458.83307864,0.0,17.79615361560837
RWA,2018,15,159302626.20056668,0.0,18.88631626690101
RWA,2019,9,49086004.6215482,0.0,17.709084534248355
RWA,2020,14,256347212.8975635,0.42857142857142855,19.36204338778136
RWA,2021,6,15254440.904227465,0.3333333333333333,16.54038129101448
SDN,2000,5,877009269.061062,0.0,20.592028120475646
SDN,2001,6,593254159.7574694,0.16666666666666666,20.201133466753184
SDN,2002,5,150178481.35246697,0.0,18.82733502706136
SDN,2003,9,2897336938.3104258,0.0,21.78705785525653
SDN,2004,21,894585957.2716688,0.0,20.611871552742887
SDN,2005,15,1761123648.0592127,0.0,21.289217879247754
SDN,2006,17,913893015.6907443,0.058823529411764705,20.633224072995098
SDN,2007,26,2239297836.1364517,0.0,21.529428188108675
SDN,2008,17,284572816.198815,0.0,19.46649972675631
SDN,2009,21,2625899928.452481,0.0,21.68868950450474
SDN,2010,18,727717634.2794584,0.0,20.405423667295292
SDN,2011,17,259402662.08389625,0.0,19.373892096115803
SDN,2012,7,4111371560.7770934,0.0,22.137022523112407
SDN,2013,15,84296.1890561751,0.0,11.342103798904647
SDN,2014,9,327782650.0393716,0.0,19.607861297429142
SDN,2015,7,3030144.03786317,0.0,14.924121043621524
SDN,2016,11,3609013.91875874,0.0,15.098945417381618
SDN,2017,7,95274351.7408534,0.0,18.372271211112597
SDN,2018,11,64566667.995617665,0.0,17.9832088757796
SDN,2019,13,29801225.8965137,0.0,17.21006012165208
SDN,2020,7,2546388.365443261,0.14285714285714285,14.750186978630925
SDN,2021,4,4500000.0,0.25,15.319588176962746
SEN,2005,3,111186475.25259323,0.0,18.526719315951365
SEN,2006,7,179637934.7480142,0.0,19.006453915069105
SEN,2007,8,235498503.5295151,0.0,19.27721512120744
SEN,2009,4,12767085.4103357,0.0,16.36238104303647
SEN,2010,10,138980386.18482837,0.0,18.749843381749788
SEN,2011,7,103817026.99913901,0.0,18.45814056147643
SEN,2012,4,104606603.53677858,0.0,18.46571724848878
SEN,2013,6,177277604.83918798,0.0,18.993227456463522
SEN,2014,5,55499011.408442974,0.0,17.83187578411587
SEN,2015,7,1320524671.867292,0.0,21.00129497401558
SEN,2016,5,127090654.66336145,0.0,18.660411213892562
SEN,2017,7,114885922.42801893,0.0,18.559450223808344
SEN,2018,15,450846432.46450955,0.0,19.926637337186897
SEN,2019,13,314709295.1496638,0.0,19.56715990131765
SEN,2020,8,1629636.2118331017,0.375,14.303867978583149
SEN,2021,9,643185305.3117647,0.2222222222222222,20.281943430903542
SLB,2019,3,36539921.1457654,0.0,17.413915978254103
SLB,2020,18,86267550.33398873,0.3333333333333333,18.27296408690111
SLB,2021,17,39219813.76720894,0.11764705882352941,17.484692655804672
SLE,2000,1,641614.18219882,0.0,13.371743998282563
SLE,2001,2,0.0,0.0,0.0
SLE,2002,3,15639298.3448269,0.0,16.565297493153825
SLE,2003,4,609015.935094634,0.0,13.319601354342563
SLE,2004,2,6832956.3656599,0.0,15.737268134267364
SLE,2005,3,21702333.4961414,0.0,16.89293039319167
SLE,2006,8,5245782.974180261,0.0,15.472935259411292
SLE,2007,4,70541817.84820059,0.0,18.071716267075438
SLE,2008,6,0.0,0.0,0.0
SLE,2009,9,0.0,0.0,0.0
SLE,2010,3,0.0,0.0,0.0
SLE,2011,13,53368299.6912703,0.0,17.79272750765464
SLE,2012,7,1427187431.917866,0.0,21.078971514340562
SLE,2013,12,98801746.0600872,0.0,18.408625845356163
SLE,2014,18,23908519.792206243,0.0,16.98974547186647
SLE,2015,16,18914832.44968357,0.0,16.755457010812698
SLE,2016,13,263503637.5103829,0.0,19.389577734238905
SLE,2017,21,760544796.9072618,0.0,20.449545573789703
SLE,2018,24,13952045.487567205,0.0,16.45113675708974
SLE,2019,19,149526918.58474302,0.0,18.822986998697413
SLE,2020,6,5975.077962772571,0.3333333333333333,8.6955197727069
SLE,2021,10,2050060458.6802099,0.3,21.441135122188765
SLV,2015,1,22445511.391579,0.0,16.926601258700305
SLV,2018,5,15639213.832862,0.0,16.56529208931882
SLV,2019,15,144969396.35162827,0.0,18.792033225362694
SLV,2020,26,70067242.18942197,0.19230769230769232,18.064965955908143
SLV,2021,7,56634200.0,0.42857142857142855,17.852123618633616
SOM,2004,2,310319.4952195488,0.0,12.645360897947677
SOM,2005,2,6727723.383803855,0.0,15.721747514249415
SOM,2007,2,237502.898540701,0.0,12.377939317230325
SOM,2008,2,2286878.882923575,0.0,14.642698949948114
SOM,2009,3,970870.181822412,0.0,13.785949072996216
SOM,2011,1,19633766.5620069,0.0,16.7927614766195
SOM,2014,4,44283.8092563394,0.0,10.69839699105002
SOM,2015,8,2289442.1619410585,0.0,14.643819185237632
SOM,2016,10,2361609.01671693,0.0,14.674854154875286
SOM,2017,8,15022456.384003876,0.0,16.525056798375005
SOM,2018,4,8173873.109090069,0.0,15.91645354160411
SOM,2019,3,0.0,0.0,0.0
SOM,2020,1,1444980.46624385,0.0,14.18360705331759
SOM,2021,4,17300000.0,0.5,16.666217117271472
SRB,2001,1,6075854.67006921,0.0,15.61983338831251
SRB,2002,1,9059257.58534097,0.0,16.019297840823015
SRB,2003,1,170524461.826497,0.0,18.95438932138426
SRB,2004,1,0.0,0.0,0.0
SRB,2005,2,21702.3334961414,0.0,9.985221145064322
SRB,2006,2,2803950.61072303,0.0,14.846540269756266
SRB,2007,1,0.0,0.0,0.0
SRB,2008,1,2193614.19143407,0.0,14.601061513109967
SRB,2009,7,142517682.42137486,0.0,18.77497664415902
SRB,2010,4,344936604.5144471,0.0,19.658871205979104
SRB,2011,7,435523264.98933166,0.0,19.89205877645632
SRB,2012,5,3546001.612377844,0.0,15.081331502327199
SRB,2013,2,339539002.20914,0.0,19.643099382632787
SRB,2014,7,674981527.3054537,0.0,20.33019588298896
SRB,2015,3,1795640.91132632,0.0,14.400873126743779
SRB,2016,8,1044485647.5979879,0.0,20.766790398893296
SRB,2017,7,509455631.1424308,0.0,20.048853325662414
SRB,2018,4,236851926.42205176,0.0,19.282945725033883
SRB,2019,6,1656728032.8235786,0.0,21.228110430250226
SRB,2020,10,211400309.02544785,0.2,19.169264097934093
SRB,2021,6,298600000.0,0.5,19.514615446418325
SSD,2007,1,709655.503104825,0.0,13.472536333505364
SSD,2008,2,2164017.24108136,0.0,14.587477348248177
SSD,2009,2,2792046.385056015,0.0,14.842285714445316
SSD,2010,1,0.0,0.0,0.0
SSD,2011,15,1057696.955953497,0.0,13.871605364775274
SSD,2012,13,7044741.34755506,0.0,15.76779213026218
SSD,2013,12,527413489.976357,0.0,20.083495411716243
SSD,2014,21,1553861185.5393763,0.0,21.164008758350775
SSD,2015,17,2207750589.184056,0.0,21.515240001636922
SSD,2016,9,13877331.600500178,0.0,16.445767318818334
SSD,2017,15,24868856.117403224,0.0,17.029126860457602
SSD,2018,18,368591434.3999527,0.0,19.7251993674443
SSD,2019,21,914838611.586845,0.0,20.63425822799656
SSD,2020,22,26592055.56957767,0.22727272727272727,17.096123103950696
SSD,2021,7,2300000.0,0.14285714285714285,14.648420115681892
STP,2017,10,34915846.15773547,0.0,17.368451357400126
