Country Code,year,primary_net_female,primary_net_male,primary_net_pct,secondary_net_female,secondary_net_male,secondary_net_pct,tertiary_gross_female,tertiary_gross_male,tertiary_gross_pct,secondary_gender_gap,tertiary_gender_gap
SST,2015,86.14665,84.9846,85.55724,58.15793,57.07453,57.59482,24.0306205749512,16.1975593566894,19.9418296813965,1.0833999999999975,7.8330612182618005
SST,2016,,,,58.49717,57.3006,57.88084,24.2634792327881,16.0902404785156,19.9832496643066,1.1965699999999941,8.1732387542725
SST,2017,86.2564,85.4015,85.82278,58.7646,57.54649,58.13102,25.2153701782227,16.2659893035889,20.5163993835449,1.218110000000003,8.9493808746338
SST,2018,86.14369,85.24041,85.68541,,,,25.5584392547607,16.3884696960449,20.7374591827393,,9.169969558715799
SST,2019,,,,,,,26.3020191192627,16.8585300445557,21.3656902313232,,9.443489074707
SST,2020,,,,,,,26.9022693634033,17.2450504302979,21.8676891326904,,9.657218933105398
SST,2021,,,,,,,27.2032699584961,17.7217502593994,22.3052196502686,,9.481519699096701
SST,2022,,,,,,,27.4231796264648,17.8965492248535,22.5005798339844,,9.5266304016113
SST,2023,,,,,,,27.5055694580078,17.9591503143311,22.5767707824707,,9.546419143676697
STP,2002,91.54216,96.30247,93.93838,,,,,,,,
STP,2003,95.08127,97.91249,96.50664,29.27558,22.91929,26.07338,,,,6.356290000000001,
STP,2004,95.24813,97.59887,96.43171,26.06751,24.63753,25.34772,,,,1.429979999999997,
STP,2005,93.70949,96.2678,94.99835,32.21784,29.40496,30.8018,,,,2.8128800000000034,
STP,2007,90.38196,88.94923,89.65963,34.0617,30.24359,32.13773,,,,3.818110000000001,
STP,2008,90.63197,89.89109,90.25838,33.05935,29.76378,31.39787,,,,3.2955700000000014,
STP,2009,92.63483,89.2027,90.90328,35.06274,30.11287,32.56531,3.77591991424561,4.07464981079102,3.92682003974915,4.949869999999997,-0.29872989654541016
STP,2010,91.56319,89.42093,90.48221,36.14533,33.73971,34.9313,4.1741099357605,4.28275012969971,4.22901010513306,2.405619999999999,-0.10864019393920987
STP,2011,,,,50.03,43.27554,46.62194,,,,6.754460000000002,
