Country Code,year,avg_schooling_years,primary_enroll_gross_pct,secondary_enroll_gross_pct,tertiary_enroll_gross_pct,population_total,percent_urban,political_stability,log_gdp_pc_current_usd,join_year,treated,post_join,projects,usd_const_2021,log1p_usd_const_2021,share_amount_estimated
FJI,2012,,95.1824417114258,82.1471405029297,,914918.0,53.0383211294771,-0.0677748322486877,8.376183249735927,2018.0,1,0,7.0,126870835.02030642,18.65868008767737,0.0
FJI,2013,,96.6247792169561,,,916352.0,53.5552726299291,-0.0510276891291142,8.428021761469404,2018.0,1,0,7.0,17268534.297971953,16.664396634596304,0.0
FJI,2014,,96.8942906526928,88.1849686883865,69.4327641990718,917585.0,54.0838287543856,0.553164601325989,8.574396771299284,2018.0,1,0,14.0,3160417.315667266,14.966214955177568,0.0
FJI,2015,,99.3576818152788,87.836769819804,68.4167953525995,918578.0,54.6234188083653,0.569660663604736,8.536707751469534,2018.0,1,0,13.0,28633949.1146785,17.170103638729994,0.0
FJI,2016,,100.256688986124,89.18202295018,77.5601234063116,919166.0,55.1734720973874,0.897029459476471,8.587612561438105,2018.0,1,0,14.0,10481433.861664064,16.165116141766187,0.0
FJI,2017,10.90163,102.960840496657,,82.343551650893,918759.0,55.7408343449609,0.585380256175995,8.670403110797398,2018.0,1,0,13.0,31055625.285358846,17.251290550745587,0.0
FJI,2018,,106.223152022315,92.0806759919252,79.1464225438552,917180.0,56.2328347385698,0.832882523536682,8.713815305214771,2018.0,1,1,15.0,14472660.47513751,16.487772012249977,0.0
FJI,2019,,114.912590026855,91.8760588497548,77.5562006170027,914899.0,56.70989552257,0.779334902763367,8.67301221234981,2018.0,1,1,9.0,16826581.312212653,16.63847047437547,0.0
FJI,2020,,112.553329467773,91.541633605957,83.7613654490349,914963.0,57.186684691874,0.662797212600708,8.438506137918505,2018.0,1,1,15.0,2316041.814510858,14.655370603907803,0.0
FJI,2021,,114.93183377296,93.95505855048,76.7030156165859,916711.0,57.6618364761928,0.72510689496994,8.420182853805079,2018.0,1,1,11.0,1704099.19,14.348547781591282,0.0
