Country Code,year,birth_rate_crude_per_1000
IBD,2002,19.2511313882636
IBT,2002,23.3261334697514
IDB,2002,37.8943246821106
IDX,2002,36.9649886967758
IDA,2002,37.2890568143828
LTE,2002,13.8909224400171
LCN,2002,21.1792095241984
LAC,2002,21.4054280122921
TLA,2002,21.4289282970222
LDC,2002,38.3203677198176
LMY,2002,23.6157810008375
LIC,2002,41.6409629795186
LMC,2002,29.1762877894179
MEA,2002,28.5431375568219
MNA,2002,29.0242096623337
TMN,2002,28.9565158857258
MIC,2002,22.2854697201798
NAC,2002,13.6557178698892
INX,2002,
OED,2002,13.2476267734013
OSS,2002,21.6836884182865
PSS,2002,28.9404503866561
PST,2002,11.187222305458
PRE,2002,43.2446713284755
SST,2002,21.9327445170377
SAS,2002,26.6774518771716
TSA,2002,26.6774518771716
SSF,2002,41.4728193296482
SSA,2002,41.1668304477384
TSS,2002,41.4728193296482
UMC,2002,15.9603452892242
WLD,2002,21.418176157983
AFG,2003,47.056
ALB,2003,15.616
DZA,2003,19.614
ASM,2003,28.502
AND,2003,9.537
AGO,2003,46.551
ATG,2003,16.443
ARG,2003,18.41
ARM,2003,11.3
ABW,2003,13.358
AUS,2003,12.6
AUT,2003,9.5
AZE,2003,13.8
BHS,2003,16.024
BHR,2003,19.692
BGD,2003,27.745
BRB,2003,14.044
BLR,2003,9.0
BEL,2003,11.0
BLZ,2003,27.92
BEN,2003,41.475
BMU,2003,12.096
BTN,2003,21.706
BOL,2003,28.135
BIH,2003,10.068
BWA,2003,27.393
BRA,2003,17.819
VGB,2003,10.472
BRN,2003,18.036
BGR,2003,8.7
BFA,2003,44.491
BDI,2003,44.528
CPV,2003,24.746
KHM,2003,26.88
CMR,2003,41.074
CAN,2003,10.6
CYM,2003,14.916
CAF,2003,41.704
TCD,2003,50.028
CHI,2003,10.9
CHL,2003,14.789
CHN,2003,12.41
COL,2003,20.928
COM,2003,34.459
COD,2003,44.155
COG,2003,36.955
CRI,2003,17.572
CIV,2003,42.802
HRV,2003,8.9
CUB,2003,12.114
CUW,2003,14.452
CYP,2003,11.751
CZE,2003,9.2
DNK,2003,12.0
DJI,2003,32.678
DMA,2003,15.605
DOM,2003,23.738
ECU,2003,24.18
EGY,2003,26.866
SLV,2003,23.144
GNQ,2003,39.991
ERI,2003,35.894
EST,2003,9.5
SWZ,2003,32.333
ETH,2003,43.334
FRO,2003,14.8
FJI,2003,24.265
FIN,2003,10.9
FRA,2003,12.8
PYF,2003,18.605
GAB,2003,32.869
GMB,2003,39.728
GEO,2003,12.132
DEU,2003,8.6
GHA,2003,34.779
GIB,2003,10.776
GRC,2003,9.6
GRL,2003,15.5
GRD,2003,17.143
GUM,2003,20.092
GTM,2003,32.47
GIN,2003,40.284
GNB,2003,41.296
GUY,2003,22.703
HTI,2003,30.164
HND,2003,31.355
HKG,2003,6.9
HUN,2003,9.3
ISL,2003,14.3
IND,2003,25.783
IDN,2003,20.834
IRN,2003,15.878
IRQ,2003,34.524
IRL,2003,15.4
IMN,2003,11.818
ISR,2003,21.7
ITA,2003,9.5
JAM,2003,19.189
JPN,2003,8.9
JOR,2003,28.475
KAZ,2003,17.516
KEN,2003,39.459
KIR,2003,28.58
PRK,2003,15.318
KOR,2003,10.2
XKX,2003,18.83
KWT,2003,22.404
KGZ,2003,20.9
LAO,2003,30.66
LVA,2003,9.2
LBN,2003,20.002
LSO,2003,29.294
LBR,2003,42.001
LBY,2003,22.92
LIE,2003,10.2
LTU,2003,8.8
LUX,2003,11.7
MAC,2003,7.2
MDG,2003,39.513
MWI,2003,43.907
MYS,2003,19.55
MDV,2003,18.448
MLI,2003,47.566
MLT,2003,10.2
MHL,2003,37.593
MRT,2003,37.912
MUS,2003,15.9
MEX,2003,22.832
FSM,2003,29.593
MDA,2003,12.166
MCO,2003,10.612
MNG,2003,18.648
MNE,2003,13.6
MAR,2003,21.589
MOZ,2003,41.971
MMR,2003,22.252
NAM,2003,29.028
NRU,2003,27.884
NPL,2003,27.732
NLD,2003,12.3
NCL,2003,18.705
NZL,2003,13.94
NIC,2003,25.925
NER,2003,52.178
NGA,2003,43.71
MKD,2003,13.3
MNP,2003,22.594
NOR,2003,12.4
OMN,2003,22.485
PAK,2003,34.295
PLW,2003,14.291
PAN,2003,22.65
PNG,2003,33.675
PRY,2003,24.412
PER,2003,22.33
PHL,2003,28.101
POL,2003,9.2
PRT,2003,10.8
PRI,2003,13.1
QAT,2003,16.921
